window,true_label,true_activity,predicted,dominant_freq_hz,acf_step_freq_hz,steps_in_window,step_rate_per_min,mag_mean,mag_std,mag_rms,wavelet_A4,wavelet_D4,wavelet_D3,wavelet_D2,wavelet_D1,reason
43,C,Stairs,Brisk Walking,1.569,1.538,4,94.1,10.214,3.5861,10.8253,0,0,0,0.013,0.0008,Step freq ~1.57 Hz
44,C,Stairs,Brisk Walking,1.569,1.667,3,70.6,10.7689,3.5336,11.3339,0,0,0,0.011,0.0003,Step freq ~1.67 Hz
45,C,Stairs,Brisk Walking,1.961,2.222,3,70.6,10.2688,2.2419,10.5107,0,0,0,0.013,0.0006,Step freq ~2.22 Hz
46,C,Stairs,Brisk Walking,1.569,1.538,4,94.1,10.1344,2.5895,10.46,0,0,0,0.0063,0.0004,Step freq ~1.57 Hz
47,C,Stairs,Brisk Walking,1.176,1.429,3,70.6,10.6035,1.7313,10.7439,0,0,0,0.0025,0.0003,Step freq ~1.43 Hz
48,C,Stairs,Brisk Walking,1.569,1.538,4,94.1,10.5581,2.0536,10.756,0,0,0,0.0073,0.0005,Step freq ~1.57 Hz
49,C,Stairs,Brisk Walking,1.569,1.429,3,70.6,10.2188,2.8643,10.6126,0,0,0,0.0065,0.0007,Step freq ~1.57 Hz
50,C,Stairs,Brisk Walking,1.569,1.667,5,117.6,10.0151,1.035,10.0685,0,0,0,0.0014,0.0002,Step freq ~1.67 Hz
51,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.4753,2.5909,10.791,0,0,0,0.0054,0.0009,Step freq ~1.67 Hz
52,C,Stairs,Brisk Walking,1.961,2.0,5,117.6,10.9804,2.6949,11.3062,0,0,0,0.014,0.0003,Step freq ~2.00 Hz
53,C,Stairs,Brisk Walking,1.569,1.818,4,94.1,11.3017,4.1359,12.0347,0,0,0,0.0091,0.0024,Step freq ~1.82 Hz
54,C,Stairs,Walking,1.176,0.606,3,70.6,11.3331,4.0338,12.0296,0,0,0,0.0105,0.0004,Step freq ~1.18 Hz
55,C,Stairs,Brisk Walking,1.569,1.429,4,94.1,10.2478,2.0915,10.4591,0,0,0,0.0027,0.0003,Step freq ~1.57 Hz
56,C,Stairs,Brisk Walking,1.569,1.538,4,94.1,10.4301,1.9678,10.6141,0,0,0,0.0048,0.0003,Step freq ~1.57 Hz
57,C,Stairs,Brisk Walking,1.569,1.538,4,94.1,10.4573,2.1638,10.6788,0,0,0,0.0051,0.0002,Step freq ~1.57 Hz
58,C,Stairs,Brisk Walking,1.569,1.429,4,94.1,9.8611,2.2627,10.1173,0,0,0,0.0078,0.0003,Step freq ~1.57 Hz
59,C,Stairs,Brisk Walking,1.961,0.952,4,94.1,9.9481,1.234,10.0244,0,0,0,0.0025,0.0001,Step freq ~1.96 Hz
60,C,Stairs,Brisk Walking,1.569,1.667,3,70.6,10.2333,2.5118,10.537,0,0,0,0.0126,0.0003,Step freq ~1.67 Hz
61,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.2312,3.2122,10.7236,0,0,0,0.0151,0.0007,Step freq ~1.67 Hz
62,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.1572,3.5112,10.747,0,0,0,0.0086,0.0005,Step freq ~1.67 Hz
63,C,Stairs,Brisk Walking,1.569,0.909,4,94.1,10.4283,4.0978,11.2045,0,0,0,0.0197,0.0078,Step freq ~1.57 Hz
64,C,Stairs,Brisk Walking,1.569,1.667,3,70.6,10.534,2.617,10.8542,0,0,0,0.0049,0.0004,Step freq ~1.67 Hz
65,C,Stairs,Walking,1.176,1.333,3,70.6,10.0594,2.246,10.3071,0,0,0,0.0065,0.0003,Step freq ~1.33 Hz
66,C,Stairs,Brisk Walking,1.569,1.429,4,94.1,10.3115,2.2891,10.5625,0,0,0,0.006,0.001,Step freq ~1.57 Hz
67,C,Stairs,Brisk Walking,1.569,1.429,3,70.6,10.1066,1.9159,10.2866,0,0,0,0.0031,0.0003,Step freq ~1.57 Hz
68,C,Stairs,Brisk Walking,1.569,1.538,5,117.6,10.0381,1.3656,10.1306,0,0,0,0.0027,0.0002,Step freq ~1.57 Hz
69,C,Stairs,Brisk Walking,1.569,1.667,4,94.1,10.5279,2.4738,10.8147,0,0,0,0.0071,0.0004,Step freq ~1.67 Hz
70,C,Stairs,Brisk Walking,1.961,1.818,5,117.6,10.8685,3.0173,11.2796,0,0,0,0.014,0.0017,Step freq ~1.96 Hz
71,C,Stairs,Brisk Walking,1.961,1.053,4,94.1,10.5436,4.4909,11.4602,0,0,0,0.0311,0.0017,Step freq ~1.96 Hz
72,P,Dribbling,Brisk Walking,1.569,1.429,4,94.1,12.3489,5.4379,13.4932,0,0,0,0.0408,0.0098,Step freq ~1.57 Hz
73,P,Dribbling,Walking,1.176,1.25,3,70.6,11.5943,4.6768,12.502,0,0,0,0.0171,0.0039,Step freq ~1.25 Hz
74,P,Dribbling,Walking,1.176,1.25,3,70.6,11.1317,5.2057,12.2888,0,0,0,0.0176,0.0054,Step freq ~1.25 Hz
75,P,Dribbling,Walking,1.176,1.25,4,94.1,10.6728,5.4616,11.9891,0,0,0,0.0431,0.0055,Step freq ~1.25 Hz
76,P,Dribbling,Walking,1.176,1.176,3,70.6,11.0725,5.311,12.2803,0,0,0,0.0277,0.002,Step freq ~1.18 Hz
77,P,Dribbling,Walking,1.176,1.25,2,47.1,11.305,5.0326,12.3746,0,0,0,0.0049,0.0045,Step freq ~1.25 Hz
78,P,Dribbling,Walking,1.176,1.333,3,70.6,11.896,4.4985,12.7182,0,0,0,0.0258,0.0033,Step freq ~1.33 Hz
79,P,Dribbling,Walking,1.176,1.333,4,94.1,10.8445,4.6079,11.7829,0,0,0,0.0092,0.0053,Step freq ~1.33 Hz
80,P,Dribbling,Walking,1.176,1.25,4,94.1,10.223,5.0845,11.4176,0,0,0,0.0257,0.0033,Step freq ~1.25 Hz
81,P,Dribbling,Brisk Walking,1.176,1.667,4,94.1,12.348,6.0482,13.7497,0,0,0,0.0506,0.01,Step freq ~1.67 Hz
82,P,Dribbling,Walking,1.176,1.176,2,47.1,11.7524,5.5633,13.0027,0,0,0,0.0132,0.0041,Step freq ~1.18 Hz
83,P,Dribbling,Walking,1.176,1.25,3,70.6,10.8664,5.0318,11.9749,0,0,0,0.0074,0.0052,Step freq ~1.25 Hz
84,P,Dribbling,Walking,1.176,1.25,3,70.6,10.8227,5.1791,11.9981,0,0,0,0.0624,0.0036,Step freq ~1.25 Hz
85,P,Dribbling,Walking,1.176,1.25,3,70.6,10.7474,5.8386,12.2309,0,0,0,0.026,0.0036,Step freq ~1.25 Hz
86,P,Dribbling,Walking,1.176,1.176,4,94.1,10.473,5.513,11.8354,0,0,0,0.0339,0.0097,Step freq ~1.18 Hz
87,P,Dribbling,Walking,1.176,1.333,4,94.1,12.4584,5.9492,13.8059,0,0,0,0.0117,0.0211,Step freq ~1.33 Hz
88,P,Dribbling,Walking,1.176,1.176,3,70.6,10.9598,5.2304,12.1439,0,0,0,0.0451,0.0035,Step freq ~1.18 Hz
89,P,Dribbling,Walking,1.176,1.25,5,117.6,10.985,5.587,12.3241,0,0,0,0.0454,0.0043,Step freq ~1.25 Hz
90,P,Dribbling,Walking,1.176,1.176,3,70.6,10.0442,5.3616,11.3857,0,0,0,0.0718,0.0081,Step freq ~1.18 Hz
91,P,Dribbling,Walking,1.176,1.25,4,94.1,10.9956,5.8098,12.4361,0,0,0,0.0641,0.0039,Step freq ~1.25 Hz
92,P,Dribbling,Walking,1.176,1.25,3,70.6,10.2338,4.6984,11.2608,0,0,0,0.0248,0.0071,Step freq ~1.25 Hz
93,P,Dribbling,Walking,1.176,1.333,4,94.1,12.2346,5.5387,13.4299,0,0,0,0.0365,0.0051,Step freq ~1.33 Hz
94,P,Dribbling,Walking,1.176,1.176,3,70.6,10.777,5.1082,11.9263,0,0,0,0.0196,0.0047,Step freq ~1.18 Hz
95,P,Dribbling,Walking,1.176,1.176,3,70.6,11.4208,5.4597,12.6587,0,0,0,0.0186,0.0042,Step freq ~1.18 Hz
96,P,Dribbling,Walking,1.176,1.25,3,70.6,12.0588,5.7091,13.342,0,0,0,0.0098,0.0053,Step freq ~1.25 Hz
97,P,Dribbling,Walking,1.176,1.25,4,94.1,9.972,5.0754,11.1893,0,0,0,0.0419,0.0075,Step freq ~1.25 Hz
98,P,Dribbling,Walking,1.176,1.25,3,70.6,10.7422,4.8971,11.8058,0,0,0,0.0079,0.004,Step freq ~1.25 Hz
99,P,Dribbling,Walking,1.176,1.25,4,94.1,11.4533,5.4341,12.6771,0,0,0,0.0493,0.0067,Step freq ~1.25 Hz
100,P,Dribbling,Walking,1.176,1.25,4,94.1,10.6485,5.3539,11.9187,0,0,0,0.0719,0.0058,Step freq ~1.25 Hz
101,P,Dribbling,Walking,1.176,1.176,3,70.6,10.204,5.525,11.6037,0,0,0,0.0896,0.0117,Step freq ~1.18 Hz
102,P,Dribbling,Walking,1.176,1.333,3,70.6,10.411,5.3333,11.6976,0,0,0,0.0392,0.0133,Step freq ~1.33 Hz
103,P,Dribbling,Walking,1.176,1.25,4,94.1,11.2651,5.4985,12.5354,0,0,0,0.0243,0.0053,Step freq ~1.25 Hz
104,P,Dribbling,Walking,1.176,1.333,4,94.1,10.3017,4.9927,11.4478,0,0,0,0.034,0.0091,Step freq ~1.33 Hz
105,P,Dribbling,Walking,1.176,1.25,3,70.6,9.8088,4.8113,10.9253,0,0,0,0.0432,0.0046,Step freq ~1.25 Hz
106,P,Dribbling,Walking,1.176,1.333,5,117.6,10.9542,5.1395,12.1,0,0,0,0.0481,0.0082,Step freq ~1.33 Hz
107,P,Dribbling,Brisk Walking,2.745,1.333,5,117.6,11.811,5.1834,12.8984,0,0,0,0.0409,0.0084,Step freq ~2.75 Hz
108,P,Dribbling,Walking,1.176,1.25,3,70.6,10.1106,5.022,11.2892,0,0,0,0.0256,0.0041,Step freq ~1.25 Hz
109,P,Dribbling,Walking,1.176,1.25,4,94.1,10.1261,5.0645,11.322,0,0,0,0.0415,0.0039,Step freq ~1.25 Hz
110,P,Dribbling,Walking,1.176,1.25,3,70.6,9.9392,4.8993,11.0811,0,0,0,0.0111,0.012,Step freq ~1.25 Hz
111,P,Dribbling,Walking,1.176,1.25,3,70.6,11.7079,5.5839,12.9713,0,0,0,0.0278,0.0067,Step freq ~1.25 Hz
112,P,Dribbling,Walking,1.176,1.25,3,70.6,10.1286,5.0942,11.3375,0,0,0,0.0145,0.0085,Step freq ~1.25 Hz
113,P,Dribbling,Walking,1.176,1.333,4,94.1,11.5286,5.2352,12.6616,0,0,0,0.0315,0.0077,Step freq ~1.33 Hz
114,P,Dribbling,Walking,1.176,1.25,3,70.6,10.628,6.0804,12.2444,0,0,0,0.0645,0.0061,Step freq ~1.25 Hz
115,P,Dribbling,Walking,1.176,1.25,3,70.6,9.5408,5.1974,10.8647,0,0,0,0.0271,0.0044,Step freq ~1.25 Hz
116,P,Dribbling,Walking,1.176,1.25,4,94.1,10.3798,4.6699,11.3819,0,0,0,0.048,0.0062,Step freq ~1.25 Hz
117,P,Dribbling,Walking,1.176,1.25,2,47.1,10.5014,6.1507,12.1701,0,0,0,0.0064,0.0016,Step freq ~1.25 Hz
118,P,Dribbling,Walking,1.176,1.333,3,70.6,11.2288,4.9899,12.2876,0,0,0,0.0386,0.0031,Step freq ~1.33 Hz
119,P,Dribbling,Walking,1.176,1.333,3,70.6,10.9392,5.2775,12.1457,0,0,0,0.0187,0.0072,Step freq ~1.33 Hz
120,P,Dribbling,Walking,1.176,1.25,3,70.6,9.2961,5.3347,10.718,0,0,0,0.0209,0.0044,Step freq ~1.25 Hz
121,P,Dribbling,Walking,1.176,1.25,3,70.6,10.2739,5.7948,11.7954,0,0,0,0.0301,0.0047,Step freq ~1.25 Hz
122,P,Dribbling,Walking,1.176,1.333,4,94.1,10.6038,4.3065,11.445,0,0,0,0.0145,0.0085,Step freq ~1.33 Hz
123,P,Dribbling,Walking,1.176,1.25,4,94.1,9.7783,5.2899,11.1174,0,0,0,0.071,0.0063,Step freq ~1.25 Hz
124,P,Dribbling,Walking,1.176,1.333,3,70.6,11.2529,4.7399,12.2104,0,0,0,0.0234,0.0041,Step freq ~1.33 Hz
125,P,Dribbling,Walking,1.176,1.333,4,94.1,12.1364,4.6793,13.0072,0,0,0,0.0297,0.0028,Step freq ~1.33 Hz
126,P,Dribbling,Walking,1.176,1.25,4,94.1,10.8192,5.8012,12.2763,0,0,0,0.0705,0.0107,Step freq ~1.25 Hz
127,P,Dribbling,Walking,1.176,1.25,4,94.1,10.3203,5.2639,11.5852,0,0,0,0.0678,0.0046,Step freq ~1.25 Hz
128,P,Dribbling,Walking,1.176,1.25,3,70.6,10.9773,5.7257,12.3808,0,0,0,0.0481,0.0074,Step freq ~1.25 Hz
129,P,Dribbling,Walking,1.176,1.25,4,94.1,11.447,4.863,12.4371,0,0,0,0.0157,0.0038,Step freq ~1.25 Hz
130,P,Dribbling,Brisk Walking,1.176,1.429,5,117.6,10.9629,4.9837,12.0425,0,0,0,0.0246,0.006,Step freq ~1.43 Hz
131,P,Dribbling,Walking,1.176,1.333,4,94.1,11.1323,5.9393,12.6176,0,0,0,0.0387,0.0212,Step freq ~1.33 Hz
132,P,Dribbling,Walking,1.176,1.25,4,94.1,11.7649,6.041,13.2252,0,0,0,0.0509,0.0088,Step freq ~1.25 Hz
133,P,Dribbling,Walking,1.176,1.25,5,117.6,10.986,4.7581,11.9721,0,0,0,0.0264,0.0071,Step freq ~1.25 Hz
134,P,Dribbling,Walking,1.176,1.333,3,70.6,11.3003,5.0828,12.3908,0,0,0,0.0343,0.0073,Step freq ~1.33 Hz
135,P,Dribbling,Walking,1.176,1.25,4,94.1,11.3848,5.691,12.728,0,0,0,0.0293,0.0039,Step freq ~1.25 Hz
136,P,Dribbling,Brisk Walking,1.176,1.429,3,70.6,10.375,5.2156,11.6122,0,0,0,0.0333,0.0065,Step freq ~1.43 Hz
137,P,Dribbling,Walking,1.176,1.333,4,94.1,10.0367,5.3656,11.3809,0,0,0,0.059,0.007,Step freq ~1.33 Hz
138,P,Dribbling,Walking,1.176,1.333,5,117.6,11.2486,5.323,12.4444,0,0,0,0.0438,0.0064,Step freq ~1.33 Hz
139,P,Dribbling,Walking,1.176,1.333,3,70.6,10.1464,4.7183,11.1898,0,0,0,0.0637,0.004,Step freq ~1.33 Hz
140,P,Dribbling,Walking,1.176,1.25,5,117.6,9.5018,4.9638,10.7202,0,0,0,0.073,0.007,Step freq ~1.25 Hz
141,P,Dribbling,Walking,1.176,1.333,4,94.1,10.5253,5.9628,12.097,0,0,0,0.0681,0.0117,Step freq ~1.33 Hz
142,M,Kicking,Brisk Walking,1.176,2.0,4,94.1,9.7185,3.6046,10.3655,0,0,0,0.0351,0.0037,Step freq ~2.00 Hz
143,M,Kicking,Brisk Walking,3.137,3.333,4,94.1,10.2901,1.12,10.3508,0,0,0,0.0034,0.0002,Step freq ~3.33 Hz
144,M,Kicking,Brisk Walking,1.961,2.0,6,141.2,10.3016,0.9235,10.3429,0,0,0,0.0017,0.0004,Step freq ~2.00 Hz
145,M,Kicking,Brisk Walking,2.353,2.0,4,94.1,10.0254,1.535,10.1423,0,0,0,0.0045,0.0004,Step freq ~2.35 Hz
146,M,Kicking,Brisk Walking,2.353,2.222,4,94.1,10.1228,0.8923,10.1621,0,0,0,0.0011,0.0001,Step freq ~2.35 Hz
147,M,Kicking,Brisk Walking,2.745,2.5,5,117.6,9.964,1.2575,10.043,0,0,0,0.0061,0.0001,Step freq ~2.75 Hz
148,M,Kicking,Brisk Walking,1.176,1.667,3,70.6,9.9121,0.5371,9.9267,0,0,0,0.0002,0.0,Step freq ~1.67 Hz
149,M,Kicking,Brisk Walking,2.353,2.0,4,94.1,10.0981,1.1554,10.164,0,0,0,0.0029,0.0002,Step freq ~2.35 Hz
150,M,Kicking,Brisk Walking,1.569,1.538,5,117.6,10.0973,1.4723,10.2041,0,0,0,0.0053,0.0005,Step freq ~1.57 Hz
151,M,Kicking,Brisk Walking,1.569,1.667,5,117.6,10.004,0.989,10.0528,0,0,0,0.0009,0.0001,Step freq ~1.67 Hz
152,M,Kicking,Brisk Walking,1.176,1.667,4,94.1,10.266,1.2056,10.3365,0,0,0,0.004,0.0002,Step freq ~1.67 Hz
153,M,Kicking,Brisk Walking,1.961,2.0,4,94.1,10.8948,2.834,11.2574,0,0,0,0.006,0.0004,Step freq ~2.00 Hz
154,M,Kicking,Brisk Walking,1.961,0.952,5,117.6,10.0626,0.6802,10.0856,0,0,0,0.0021,0.0001,Step freq ~1.96 Hz
155,M,Kicking,Brisk Walking,1.569,1.176,4,94.1,11.0854,2.7789,11.4284,0,0,0,0.0097,0.0014,Step freq ~1.57 Hz
156,M,Kicking,Brisk Walking,2.353,2.5,5,117.6,10.2228,1.3847,10.3161,0,0,0,0.0042,0.0003,Step freq ~2.50 Hz
157,M,Kicking,Brisk Walking,1.569,1.667,4,94.1,10.3722,2.2099,10.605,0,0,0,0.0021,0.0002,Step freq ~1.67 Hz
158,M,Kicking,Brisk Walking,1.961,1.818,4,94.1,10.8338,1.4529,10.9308,0,0,0,0.004,0.0005,Step freq ~1.96 Hz
159,M,Kicking,Brisk Walking,1.569,1.818,4,94.1,10.3215,1.3936,10.4152,0,0,0,0.0048,0.0004,Step freq ~1.82 Hz
160,M,Kicking,Brisk Walking,2.353,2.857,7,164.7,10.1322,1.5164,10.2451,0,0,0,0.0071,0.0003,Step freq ~2.86 Hz
161,M,Kicking,Brisk Walking,1.569,1.538,4,94.1,9.8921,0.8916,9.9322,0,0,0,0.0011,0.0001,Step freq ~1.57 Hz
162,M,Kicking,Brisk Walking,1.961,1.667,4,94.1,9.9678,0.7558,9.9964,0,0,0,0.0023,0.0003,Step freq ~1.96 Hz
163,M,Kicking,Brisk Walking,1.961,1.818,4,94.1,10.1631,1.2713,10.2423,0,0,0,0.002,0.0005,Step freq ~1.96 Hz
164,M,Kicking,Brisk Walking,1.176,1.538,4,94.1,10.139,1.218,10.2119,0,0,0,0.0022,0.0001,Step freq ~1.54 Hz
165,M,Kicking,Brisk Walking,1.569,2.222,3,70.6,9.9934,0.803,10.0256,0,0,0,0.0036,0.0001,Step freq ~2.22 Hz
166,M,Kicking,Brisk Walking,1.569,1.818,3,70.6,10.0036,1.566,10.1255,0,0,0,0.0061,0.0003,Step freq ~1.82 Hz
167,M,Kicking,Brisk Walking,1.176,1.667,4,94.1,10.0838,0.9292,10.1265,0,0,0,0.001,0.0001,Step freq ~1.67 Hz
168,M,Kicking,Brisk Walking,1.569,1.333,4,94.1,10.1796,1.1252,10.2416,0,0,0,0.0053,0.0002,Step freq ~1.57 Hz
169,M,Kicking,Brisk Walking,1.569,1.538,4,94.1,10.1203,1.4694,10.2264,0,0,0,0.0048,0.0002,Step freq ~1.57 Hz
170,M,Kicking,Brisk Walking,2.745,2.857,5,117.6,10.2573,0.8467,10.2922,0,0,0,0.0026,0.0001,Step freq ~2.86 Hz
171,M,Kicking,Brisk Walking,1.961,1.818,5,117.6,10.0069,0.8433,10.0424,0,0,0,0.002,0.0004,Step freq ~1.96 Hz
172,M,Kicking,Brisk Walking,1.569,1.818,4,94.1,9.999,0.6909,10.0228,0,0,0,0.0005,0.0001,Step freq ~1.82 Hz
173,M,Kicking,Walking,1.176,1.25,5,117.6,10.0434,1.1049,10.104,0,0,0,0.0023,0.0001,Step freq ~1.25 Hz
174,M,Kicking,Brisk Walking,2.353,2.0,4,94.1,10.0924,1.286,10.174,0,0,0,0.0026,0.0004,Step freq ~2.35 Hz
175,M,Kicking,Brisk Walking,2.353,2.0,3,70.6,10.1971,2.2415,10.4406,0,0,0,0.0097,0.0003,Step freq ~2.35 Hz
176,M,Kicking,Brisk Walking,2.745,2.5,5,117.6,10.4453,2.4948,10.7391,0,0,0,0.0192,0.0006,Step freq ~2.75 Hz
177,M,Kicking,Walking,1.176,1.25,4,94.1,10.2368,0.9011,10.2764,0,0,0,0.0011,0.0003,Step freq ~1.25 Hz
178,M,Kicking,Brisk Walking,1.569,1.538,4,94.1,10.0249,1.0896,10.0839,0,0,0,0.0031,0.0006,Step freq ~1.57 Hz
179,M,Kicking,Walking,1.176,1.25,4,94.1,10.0822,0.8118,10.1148,0,0,0,0.0013,0.0,Step freq ~1.25 Hz
180,M,Kicking,Brisk Walking,1.569,1.25,5,117.6,10.0523,1.0193,10.1038,0,0,0,0.0045,0.0005,Step freq ~1.57 Hz
181,M,Kicking,Brisk Walking,2.745,1.333,4,94.1,9.852,0.7148,9.8779,0,0,0,0.0014,0.0001,Step freq ~2.75 Hz
182,M,Kicking,Brisk Walking,1.569,1.538,5,117.6,10.1116,0.8807,10.1499,0,0,0,0.0014,0.0001,Step freq ~1.57 Hz
183,M,Kicking,Brisk Walking,1.961,2.0,3,70.6,10.1602,1.2172,10.2328,0,0,0,0.001,0.0005,Step freq ~2.00 Hz
184,M,Kicking,Brisk Walking,1.569,1.667,4,94.1,10.2111,0.9984,10.2598,0,0,0,0.0018,0.0003,Step freq ~1.67 Hz
185,M,Kicking,Running (fast),3.922,4.0,5,117.6,10.0594,0.5119,10.0724,0,0,0,0.0017,0.0001,"Step freq ~4.00 Hz, high cadence"
